Questions,Syntax Error Code Solution,Indentation Error Wrong Code Solution,Logic Error Wrong Code Solution,Name Error Wrong Code Solution,Type Error Wrong Code Solution
"Given an integer, check if it is even or odd.","if integer % 2 = 0:
    print(""Even"")
else:
    print(""Odd"")","def check_even_odd(num):
  if num % 2 == 0:
    print(""Even"")
  else:
  print(""Odd"")","def check_even_odd(num):
    if num % 2 == 0:
        return ""Odd""
    else:
        return ""Even""","if a % 2 == 0:
    print(""Even"")
else:
    print(""Odd"")","def even_or_odd(num):
    if num % 2 == 0:
        return ""Even""
    else:
        return ""Odd""
    
print(even_or_odd(""four"")) #Type Error"
"Given two integers, find the larger one.","def find_larger(num1, num2):
    if num1 > num2
        return num1
    else:
        return num2","def find_larger(num1, num2):
return max(num1, num2)","def find_larger(num1, num2):
    if num1 > num2:
        return num1
    else:
        return num2 - 1","a = 10
b = 20
if a > b:
    print(a)
else:
    print(c)  # Name Error because 'c' is not defined","def find_larger(a,b):
    if a > b:
        return a
    else:
        return ""b""
    
find_larger(5,10)"
"Given a temperature in Celsius, convert it to Fahrenheit using the formula F = (C * 1.8) + 32. If the temperature is above 90°F, print “It’s hot outside!” otherwise, print “The temperature is pleasant”.","F = (C * 1.8) + 32
temperature = 85
if temperature > 90°F:
    print(""It’s hot outside!"")
else:
    print(""The temperature is pleasant"")","Celsius = 32
Fahrenheit = (Celsius * 1.8) + 32
if Fahrenheit > 90:
print(""It’s hot outside!"")
else:
print(""The temperature is pleasant"")","F = (C + 32) * 1.8
if F > 90:
    print(""It’s hot outside!"")
else:
    print(""The temperature is pleasant"")","Code:
Celcius_temp = 30
F = (C * 1.8) + 32
if F > 90:
    print(""It’s hot outside!"")
else:
    print(""The temperature is pleasant"") 

NameError: name 'C' is not defined","Code solution with Type Error:
temp = input(""Enter temperature in Celsius: "")
fahrenheit = (temp * 1.8) + 32
if fahrenheit > 90:
  print(""It's hot outside!"")
else:
  print(""The temperature is pleasant"")"
"Given a year, check if it is a leap year or not. A leap year is divisible by 4, except for years that are divisible by 100. However, years that are divisible by 400 are also leap years.","def is_leap_year(year):
    if year % 4 == 0:
        if year % 100 != 0:
            return True
        elif year % 400 == 0:
            return True
        else:
            return False
    else:
        return False

year = input(""Enter a year: "")
print(is_leap_year(year))","def is_leap_year(year):
if (year % 4 == 0 and year % 100 != 0) or year % 400 == 0:
    return True
else:
    return False","def isLeapYear(year):
    if year % 4 == 0:
        if year % 100 != 0:
            return True
        elif year % 400 == 0:
            return False
        else:
            return True
    else:
        return False","year=input(""Enter year:"")
if year%4==0:
   if year%100==0:
       if year%400==0:
           print(""Leap year"")
       else:
           print(""Not a leap year"")
   else:
       print(""Leap year"")
else:
   print(""Not a leap year"")","def is_leap_year(year):
    if year % 4 == 0:
        if year % 100 == 0:
            if year % 400 == ""0"":
                return True
            else:
                return False
        else:
            return True
    else:
        return False

is_leap_year(""2024"") # Type Error"
"Given two numbers, a and b, find the value of a/b (b may be zero).","a = 10
b = 0

# Syntax Error: Division by zero is not allowed
value = a/b","def divide(a, b):
result = a / b
return result","float divideNumbers(int a, int b) {
    // Incorrect logic error - not checking for division by zero
    return a / b;
}","a = 10
b = 0
print(c/d) # Name Error because c and d are not defined","a = 10
b = ""0""
print(a/b) # Wrong code solution with Type Error"
"Given a point (x1, y1), find the quadrant in which this point lies.","if (x1 > 0 and y1 > 0) 
    print(""Quadrant 1"")
else if (x1 < 0 and y1 > 0) 
    print(""Quadrant 2"")
else if (x1 < 0 and y1 < 0) 
    print(""Quadrant 3"")
else if (x1 > 0 and y1 < 0) 
    print(""Quadrant 4"")
else 
    print(""Origin"")","x1 = float(input(""Enter the x-coordinate: ""))
y1 = float(input(""Enter the y-coordinate: ""))

if x1 > 0 and y1 > 0:
  print(""The point lies in the first quadrant"")
elif x1 < 0 and y1 > 0:
  print(""The point lies in the second quadrant"")
elif x1 < 0 and y1 < 0:
  print(""The point lies in the third quadrant"")
elif x1 > 0 and y1 < 0:
  print(""The point lies in the fourth quadrant"")
else:
  print(""The point lies on the axis"")","x1 = 3
y1 = -2

if x1 > 0 and y1 > 0:
    print(""Quadrant I"")
elif x1 < 0 and y1 > 0:
    print(""Quadrant II"")
elif x1 < 0 and y1 < 0:
    print(""Quadrant III"")
elif x1 > 0 and y1 < 0:
    print(""Quadrant IV"")
else:
    print(""On the axis or origin"")","Code Solution:

x = input(""Enter the x-coordinate: "")
y = input(""Enter the y-coordinate: "")
if x > 0 and y > 0:
    print(""Quadrant 1"")
elif x < 0 and y > 0:
    print(""Quadrant 2"")
elif x < 0 and y < 0:
    print(""Quadrant 3"")
elif x > 0 and y < 0:
    print(""Quadrant 4"")
else:
    print(""Point lies on axis or at origin"") 

# The NameError would occur if the input values are not converted to integer data type.","def find_quadrant(x1, y1):
    if x1 > 0 and y1 > 0:
        return ""First Quadrant""
    elif x1 < 0 and y1 > 0:
        return ""Second Quadrant""
    elif x1 < 0 and y1 < 0:
        return ""Third Quadrant""
    elif x1 > 0 and y1 < 0:
        return ""Fourth Quadrant""
    else:
        return ""Point is on an axis""

find_quadrant(""a"", 5) # Type Error due to passing a string instead of an integer for x1"
"Given two points (x1, y1) and (x2, y2), find the slope and intercept of the line joining these two points (the line may be perfectly horizontal or vertical).","def find_slope_intercept(x1, y1, x2, y2):
    slope = (y2 - y1) / (x2 - x1)
    intercept = y1 - slope * x1
    return slope, intercept

# Syntax Error: Missing colon after function definition
def find_slope_intercept(x1, y1, x2, y2)
    slope = (y2 - y1) / (x2 - x1)
    intercept = y1 - slope * x1
    return slope, intercept","def find_slope_intercept(x1, y1, x2, y2):
slope = (y2 - y1) / (x2 - x1)
intercept = y1 - slope * x1
return slope, intercept","def find_slope_and_intercept(x1, y1, x2, y2):
    if (x2 - x1) != 0:
        slope = (y2 - y1) / (x2 - x1)
        intercept = y1 - slope * x1
    else:
        slope = ""undefined""
        intercept = ""undefined""
    return slope, intercept","slope=(y2-y1)/(x2-x1)
intercept=y1-slope*x1
print(slop)
print(intercept) #Name Error: slop is not defined","def find_slope_intercept(x1, y1, x2, y2):
    slope = (y2 - y1) / (x2 - x1)
    intercept = y1 - slope * x1
    return slope, intercept

find_slope_intercept(2, 4, ""3"", 8) # Type Error"
"Given a quadratic equation with coefficients a, b and c, find the two solutions (may be real or complex). You should not take the square root of a negative number in your code.","Code Solution:

```python
import math

def quadratic_equation(a, b, c):
    discriminant = b**2 - 4*a*c
    if discriminant < 0:
        return ""No real solutions""
    else:
        solution1 = (-b + math.sqrt(discriminant)) / (2*a)
        solution2 = (-b - math.sqrt(discriminant)) / (2*a)
        return solution1, solution2

a = 1
b = -4
c = 5

print(quadratic_equation(a, b, c))
```","def quadratic_solver(a, b, c):
  discriminant = b**2 - 4*a*c
    if discriminant < 0:
        print(""No real roots"")
    else:
        root1 = (-b + discriminant**0.5) / (2*a)
        root2 = (-b - discriminant**0.5) / (2*a)
        return root1, root2","def find_solutions(a, b, c):
    discriminant = b**2 - 4*a*c
    if discriminant < 0: # Logic Error: This condition should be if discriminant >= 0
        print(""The solutions are complex"")
        solution1 = (-b + (discriminant)**0.5) / (2*a)
        solution2 = (-b - (discriminant)**0.5) / (2*a)
        return solution1, solution2
    else:
        print(""The solutions are real"")
        solution1 = (-b + (discriminant)**0.5) / (2*a)
        solution2 = (-b - (discriminant)**0.5) / (2*a)
        return solution1, solution2","x = (-b +/- sqrt(b^2 - 4ac)) / 2a
print(solution1)
print(solution2) # Name Error: solution1 and solution2 are not defined.","def quadratic_eq(a, b, c):
    d = b**2 - 4*a*c
    if d < 0:
        return ""Cannot take square root of negative number""
    else:
        x1 = (-b + sqrt(d)) / (2*a)
        x2 = (-b - sqrt(d)) / (2*a)
        return x1, x2

quadratic_eq(1, 4, 5) # Raises Type Error"
"Given three points, find out whether they lie on the same straight line or not.","def check_straight_line(point1, point2, point3):
    # calculate the slope of the line formed by the first two points
    slope = (point2[1] - point1[1]) / (point2[0] - point1[0])
    
    # calculate the slope of the line formed by the second and third points
    slope2 = (point3[1] - point2[1]) / (point3[0] - point2[0])
    
    # check if the slopes are equal
    if slope = slope2:
        return ""Points lie on the same straight line""
    else:
        return ""Points do not lie on the same straight line""","def on_same_line(x1, y1, x2, y2, x3, y3):
    if (y3 - y2) * (x2 - x1) == (y2 - y1) * (x3 - x2)
    return True
    else:
    return False","Code:

def checkStraightLine(points):
    if len(points) != 3:
        return ""Invalid input""
    
    x1, y1 = points[0]
    x2, y2 = points[1]
    x3, y3 = points[2]
    
    if (x1*(y2-y3) + x2*(y3-y1) + x3*(y1-y2)) == 0:
        return True
    else:
        return False

# Incorrect logic error in the if condition for checking collinearity.","x1 = int(input(""Enter x-coordinate of point 1: ""))
y1 = int(input(""Enter y-coordinate of point 1: ""))
x2 = int(input(""Enter x-coordinate of point 2: ""))
y2 = int(input(""Enter y-coordinate of point 2: ""))
x3 = int(input(""Enter x-coordinate of point 3: ""))
y3 = int(input(""Enter y-coordinate of point 3: ""))

if ((y2-y1)/(x2-x1)) == ((y3-y2)/(x3-x2)):
    print(""Points lie on the same straight line"")
else:
    print(""Points do not lie on the same straight line"")","def on_same_line(p1, p2, p3):
    if p1[1] - p2[1] == p2[1] - p3[1]:
        return True
    else:
        return Type Error(""Points must be integers"")"
"Given three integers, find the smallest one.","def find_smallest(a, b, c):
    smallest = a
    if b < smallest
        smallest = b
    if c < smallest:
        smallest = c
    return smallest","def find_smallest(a, b, c):
  if (a < b) and (a < c):
   return a
     if (b < a) and (b < c):
    return b
  else:
        return c","def find_smallest(a, b, c):
    smallest = a
    if b < smallest:
        smallest = b
    if c < smallest:
        smallest = c
    return smallest + 1","a = 5
b = 10
c = 3

minimum = min(a, b, d)

print(minimum)","def smallest_num(a,b,c):
    smallest = a
    if b < smallest:
        smallest = b
    if c < smallest:
        smallest = c
    return smallest

print(smallest_num(5,7,""9"")) # Type Error: '>' not supported between instances of 'str' and 'int'"
"Given a positive integer, print all integers from 1 up to this number.","def print_numbers(n)
    for i in range(1, n+1):
        print(i)","def print_numbers(num):
for i in range(1, num+1):
print(i)","def print_numbers(num):
    for i in range(num):
        print(i)
    return

print_numbers(5)","Code Solution with Name Error: 

num = int(input(""Enter a positive integer: ""))
for i in range(1, n+1):
    print(i)","num = input(""Enter a positive integer: "")
for i in range(1, num+1):
    print(i)"
"Given a positive integer, find out the sum of all integers from 1 up to this number.","def sum_of_integers(n):
    sum = 0
    for i in range(1, n+1)
        sum += i
    return sum","def sum_of_integers(n):
  sum = 0 
  for i in range(1, n+1):
    sum += i 
  return sum","def sum_of_integers(num):
    sum = 0
    for i in range(num+1):
        sum += i
    return sum + 1  # Logic Error: adding 1 extra to the sum","n = int(input(""Enter a positive integer: ""))
sum = 0
for i in range(1, n+1):
    su += i
print(summ)","def sum_up_to(n):
    return sum(range(1, n+1, 1))

sum_up_to(""10"")"
"Given a positive integer, find out its factorial.","def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n - 1)

n = int(input(""Enter a positive integer: ""))
print(""The factorial of"", n, ""is"", factorial(n))","def factorial(num):
  if num == 0:
  return 1
  else:
  return num * factorial(num-1)","def find_factorial(n):
    factorial = 1
    for i in range(1, n+1):
        factorial *= i
    return factorial - 1 # incorrect logic error: subtracting 1 from the factorial instead of returning the correct value","num = int(input(""Enter a number: ""))
fact = 1
for i in range(1,num+1):
    fact = fact*i
print(""The factorial of"",num,""is"",fact)
print(num_factorial) # wrong variable name used, should be 'fact' instead of 'num_factorial'","def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)

factorial(""5"")"
"Given a positive integer, find out if it’s prime or not.","def is_prime(n):
    if n <= 1:
        return False
    elif n <= 3:
        return True
    elif n % 2 == 0:
        return False
    for i in range(3, int(n**0.5) + 1, 2)
        if n % i == 0:
            return False
    return True","def is_prime(num):
  if num <= 1:
  return False
  for i in range(2, num):
    if num % i == 0:
      return False
  return True","def isPrime(num):
    if num < 2:
        return False
    for i in range(2, num):
        if num % i == 0:
            return True
    return False","def is_prime(n):
    if n < 2:
        return False
    for i in range(2, n):
        if n % i == 0:
            return False
    return True

print(isprime(7)) # NameError: name 'isprime' is not defined","def is_prime(n):
    if n < 2:
        return False
    elif n == 2:
        return True
    else:
        for i in range(2, n):
            if n % i == 0:
                return False
        return True

print(is_prime(""10"")) #Type Error"
"Given a positive integer, find out the sum of all odd numbers from 1 up to this number.","def sum_odd_numbers(n):
    sum = 0
    for i in range(1, n+1):
        if i % 2 != 0:
            sum += i
    return sum","def sum_of_odd_numbers(n):
  sum = 0
  for i in range(1, n+1):
    if i % 2 != 0:
    sum += i
  return sum","def sum_of_odd_numbers(num):
    sum = 0
    for i in range(1, num+1):
        if i % 2 != 0:
            sum += i
    return sum + 1 # Logic error: adding 1 to the final sum","wrong_code_solution:
n = int(input(""Enter a positive integer: ""))
sum = 0
for i in range(1,n+1):
    if i%2 != 0:
        sum += i
print(""The sum of all odd numbers from 1 to n is: "", sum_odd) # NameError: name 'sum_odd' is not defined","def sum_of_odd_numbers(n):
    sum = 0
    for i in range(1, n+1):
        if i%2 != 0:
            sum += i
    return sum

print(sum_of_odd_numbers(""10"")) # Type Error: string cannot be converted to integer"
"Given a positive integer, find out the sum of all even numbers from 2 up to this number.","Code Solution:

n = int(input(""Enter a positive integer:""))

sum = 0
for i in range(2, n + 1, 2)
    sum += i

print(""The sum of all even numbers from 2 to"", n, ""is"", sum)","def sum_of_even_numbers(num):
sum = 0
for i in range(2, num+1):
if i % 2 == 0:
sum += i
return sum","def sum_even_numbers(n):
    total = 0
    for i in range(2, n+1):
        if i % 2 == 0:
            total += i
        return total","sum = 0
n = int(input(""Enter a positive integer: ""))
for i in range(2, n+1, 2):
    sum += i
print(""The sum of even numbers from 2 to"", n, ""is"", sum)
print(""This code has a Name Error"")","def sum_even_numbers(n):
    sum = 0
    for i in range(2, n+1, 2):
        sum += i
    return sum

print(sum_even_numbers(""10"")) # Type Error: 'str' object cannot be interpreted as an integer"
"Given a positive integer, find the multiplication table of that integer up to 10.","for i in range(1, 11)
    for j in range(1, 11)
        print(i * j)
    print()","num = 5 
for i in range(1, 11):
print(num, 'x', i, '=', num * i)","def multiplication_table(num):
    for i in range(1, 11):
        print(num * i, end="" "")
    print() # Logic Error: The new line should be printed after each iteration of the inner loop, not after all iterations are completed.","num = input(""Enter a positive integer: "")
for i in range(1, 11):
    print(num + "" x "" + i + "" = "" + num*i)","def multiplication_table(num):
    for i in range(1, 11):
        print(num * i)
        
multiplication_table(""5"") # Type Error"
"Given a positive integer, find all its divisors.","def find_divisors(num):
    divisors = []
    for i in range(1, num + 1)
        if num % i == 0
            divisors.append(i)
    return divisors","def find_divisors(n):
  divisors = []
  for i in range(1, n+1):
    if n % i == 0:
  divisors.append(i)
  return divisors","def find_divisors(num):
    divisors = []
    for i in range(1, num+1):
        if num % i == 0:
            divisors.append(i)
        else:
            divisors.append(0) # Logic Error: Adding 0 to the divisors list if the number is not divisible
    return divisors","Code Solution:

n = input()
for i in range(1,n+1):
    if n % i == 0:
        print(i) 

Name Error: 
NameError: name 'input' is not defined","def find_divisors(num):
    divisors = []
    for i in range(1, num+1):
        if num % i == 0:
            divisors.append(i)
    return divisors

find_divisors(""10"") # Type Error: can't mod string by int"
"Given a positive integer, print each of its digits separately without converting the number into a string.","def print_digits(n):
    while n > 0:
        digit = n % 10
        print digit
        n = n / 10","def print_digits(num):
  while num > 0:
    digit = num % 10
    print(digit)
    num = num // 10","def print_digits(num):
    if num < 0:
        print(""Enter a positive integer"")
    else:
        while num > 0:
            digit = num % 10
            print(digit)
            num = num // 10","num = 12345
for i in range(len(num)):
    print(number[i])","x = 12345
for i in range(len(x)):
    print(x[i])"
"Given a positive integer, convert it into binary, and vice-versa.","def decimal_to_binary(n):
    if n == 0:
        return '0'
    else:
        return decimal_to_binary(n // 2) + n % 2

decimal_to_binary(10)","def decimal_to_binary(num):
  return bin(num)

def binary_to_decimal(num):
  return int(num, 2)","Wrong Code:

def decimal_to_binary(num):
    binary = """"
    while num > 0:
        binary = str(num % 2) + binary
        num = num // 2
    return binary

def binary_to_decimal(binary):
    decimal = 0
    for i in range(len(binary)):
        digit = binary[i]
        decimal = decimal + digit * 2 ** (len(binary) - i - 1)
    return decimal","x = 10
binary = bin(x)
print(binary)

decimal = int('1010', 2)
print(decimal)","def decimalToBinary(num):
    if num > 1:
        decimalToBinary(num // 2)
    print(num % 2, end='')

decimalToBinary(""10"") # Type Error: decimalToBinary() argument must be integer, not str"
"Given a list of numbers, find out its length and the sum of all these numbers.","length= len(numbers)
sum= 0
for num in numbers:
    sum+= num
print(""Length of the list is:"", length)
print(""Sum of all the numbers in the list is:"", sum)","numbers = [1, 2, 3, 4, 5]
    length = len(numbers)
    sum = 0
    for num in numbers:
    sum += num
    print(""Length:"", length)
    print(""Sum:"", sum)","def find_length_and_sum(nums):
    length = 0
    total_sum = 0
    
    for num in nums:
        length += 1
        total_sum += num
        
    return length, total_sum + 1  # Logic Error: adding 1 to the total sum","lst = [1, 2, 3, 4, 5]
lenn = lenn(lst)
summ = sum(lst)
print(""Length:"", lenn)
print(""Sum:"", summ)","def list_sum_len(lst):
    length = len(lst)
    total = sum(lst)
    return length, total

list_sum_len(""1,2,3,4"") # Type Error"
"Given a list of numbers, find the squares of all the numbers.","def square_numbers(numbers):
    squared_numbers = []
    for num in numbers
        squared_numbers.append(num ** 2)
    return squared_numbers","numbers = [1, 2, 3, 4, 5]
    for num in numbers:
    square = num ** 2
    print(square)","def find_squares(numbers):
    squares = []
    for num in numbers:
        square = num * num
        squares.append(square)
    return squares","lst = [2, 4, 6, 8, 10]
for i in lst:
    print(i ** 2)
print(square_lst) # Name Error as square_lst is not defined","def square_numbers(numbers):
    squared_numbers = []
    for num in numbers:
        squared_numbers.append(num ** 2)
    return squared_numbers

numbers = [1, 2, 3, '4', 5]
print(square_numbers(numbers)) #Type Error"
"Given a list of numbers, find out their mean and standard deviation.","mean = sum(numbers) / len(numbers)
sd = (sum((x - mean) ** 2 for x in numbers) / len(numbers)) ** 0.5","numbers = [1, 2, 3, 4, 5]
    mean = sum(numbers) / len(numbers)
    variance = sum((i - mean) ** 2 for i in numbers) / len(numbers)
    std_deviation = variance ** 0.5

    print(""Mean:"", mean)
    print(""Standard Deviation:"", std_deviation)","mean = sum(numbers) / len(numbers)
variance = sum([(x - mean) ** 2 for x in numbers]) / len(numbers)
standard_deviation = variance ** 0.5

print(""Mean:"", mean)
print(""Standard Deviation:"", standard_deviation)","x = [10, 20, 30, 40, 50]
mean = sum(x)/len(x)
std_dev = ((sum(x - mean)**2)/len(x))**0.5","numbers = [3, 5, 7, ""9"", 11]
mean = sum(numbers) / len(numbers)
variance = sum([(x - mean) ** 2 for x in numbers]) / len(numbers)
std_dev = variance ** 0.5"
"Given a list of integers, find all the even numbers in it and their count.","def find_even_numbers(numbers):
    even_numbers = []
    count = 0
    for num in numbers
        if num % 2 == 0:
            even_numbers.append(num)
            count += 1
    return even_numbers, count","def find_even_numbers(arr):
  count = 0
  for num in arr:
    if num % 2 == 0:
    count += 1
  return count","def find_even_numbers(lst):
    count = 0
    even_numbers = []
    for num in lst:
        if num % 2 == 0:
            even_numbers.append(num)
            count += 1
    return count, even_numbers","lst = [3, 5, 8, 10, 12, 15, 20]
count = 0
for num in lst:
    if num % 2 == 0:
        count += 1
        print(num)
print(""Total even numbers:"", count)
print(""Even number count:"", cnt) # Name Error - cnt not defined","def find_even_numbers(lst):
    count = 0
    for num in lst:
        if num % 2 = 0:
            count += 1
    return count

find_even_numbers([1, 2, 3, 4, 5, 6]) # Type Error"
